Common_Name,Species,Phylum,Class,Order,Family,Chromossome_number_F,Chromossome_number_M,Genes_coding,Genes_non_coding,SRY,Lifespan,Diet,Accesory_glands_number,B,P,S,A,CG,Combined_Accessory_gland_mass,Acessory_glands_BW,Male_Body_mass,Combined_testis_mass,testis_BW,Testis_location,epidydydmis,Combined_epididymis_weight,epidydymis_BW,Penis_Bulbus_glands,penis,penis_bone,Penis_morphology,Ejaculation_site,Ejaculate_characteristics,Fractioned_Ejaculate,Seminiferous_epithelium_cycle_length,spermatogenesis_lenght,epididymal_transit/maturation_length,sperm_head_length,sperm_size_total,sperm_head_shape,Sperm_number_cauda,Sperm_Concentration_ejaculate,Ejaculate_collection_method,Ejaculate_volume,Total_sperm_ejaculate,Motility,Normal,Viability,Sperm_storage,Intromission_duration,Multiple_intromission,mating_strategy,Induced_ovulation,solitary_group,offspring_number,seasonality,multiples_males,earliest_puberty_age_M,earliest_puberty_age_F,Female_Body_Mass,multiple_ovulation,oocyte_stage_ovulation,diapause,oviduct,oviduct_lenght,internal_external_fertilization,Cycle_Length,Length_receptvivity,reproductive_senescence_F,gestation_length,Combined_ovary_weight,ovary_BW,uterus_morphology,folliculogenesis_length,placenta_morphology,placenta_molecular,Age_eyes_open,Lactation_length,Endangered_Status,Population,Hemisphere
Giant Panda,Ailuropoda melanoleuca,Chordata,Mammalia,Carnivora,Ursidae,42,42,22453,6763,,30,H,,,Y,N,,,,,111700,330,0.3,E,Y,,,,Y,Y,,,,,,,,4,50.78,R,459.38,1500,EE,1.5,2250,79,86,84,,,,SP,,S,M,S,Y,66,66,96800,Y,,Y,Y,,I,10.5,2.5,,127.5,,,,,Z,EC,56,39,VU,1000,N
Elk,Cervus canadensis,Chordata,Mammalia,Cetartiodactyla,Cervidae,60,60,NA,NA,,18,H,4,Y,Y,Y,Y,N,,,310000,310,0.1,E,Y,,,,Y,N,F,,,,,,,5.88,63,P,77.85,2.27,AV,4.34,9.85,60,95,NA,,,,SP,N,G,S,W,N,,,241000,N,,N,Y,,I,18.3,1,,251,,,BC,,,,0,8,LC,1000000,N
Reindeer,Rangifer tarandus,Chordata,Mammalia,Cetartiodactyla,Cervidae,70,70,NA,NA,,20.2,H,3,N,Y,Y,Y,N,34.86,0.026,132625,127.41,0.1,E,Y,,,,Y,N,F,,,N,,,,6,56,R,NA,467,AV,0.5,233.5,50,70,NA,,,,SP,N,G,S,W,N,17.5,8,120000,N,,N,Y,,I,21,0.041,,230,1.5,0.0013,BC,,C,EPC,0,21,VU,2890400,N
Red Deer,Cervus elaphus,Chordata,Mammalia,Cetartiodactyla,Cervidae,68,68,NA,NA,,24.7,H,4,Y,Y,Y,Y,N,59.8,0.049,121800,156.73,0.13,E,Y,,,,Y,N,F,,,Y,,,,8,62,P,571.2,318.53,AV,2.14,681.65,80,81,74,,,,SP,N,G,S,W,Y,12,16,125000,N,,N,Y,97.9,I,18.3,1,,247,,,BC,,C,EPC,0,16,LC,2400000,N
Fallow deer,Dama dama,Chordata,Mammalia,Cetartiodactyla,Cervidae,68,68,NA,NA,,25,H,3,N,Y,Y,Y,N,29.5,0.042,69750,80,0.11,E,Y,,,,Y,N,,,,N,,,,8.61,70.51,R,NA,400,EE,0.8,320,70,80,NA,,,,SP,N,G,S,W,Y,16,16,50000,Y,,N,Y,109.6,I,22.4,1,,231,,,BC,,C,EPC,0,15,LC,,N
Père David's deer,Elaphurus davidianus,Chordata,Mammalia,Cetartiodactyla,Cervidae,68,68,NA,NA,,23,H,,,Y,,,,,,181437,,,E,Y,,,,Y,N,,,,N,,,,7.83,59.63,P,NA,685,EE,5.5,3767.5,92.5,NA,NA,,,,SP,N,G,S,S,Y,24,24,190000,Y,,Y,Y,154.88,I,19.6,NA,,280,,,BC,,C,EPC,0,,EW,600,N
Sika deer,Cervus nippon,Chordata,Mammalia,Cetartiodactyla,Cervidae,66,66,NA,NA,,26.3,H,3,N,Y,Y,Y,N,,,80000,23.6,0.03,E,Y,3.07,0,,Y,N,,,,N,,,,7,59,P,1290,1471.3,EE,0.5,735.65,77,88,82,,,Y,SP,N,G,S,W,Y,8,16,81000,N,,N,Y,66.47,I,15,"1,5",,231,,,BC,,C,EPC,0,40,LC,,N
Korean water deer,Hydropotes inermis,Chordata,Mammalia,Cetartiodactyla,Cervidae,70,70,NA,NA,,11.5,H,4,Y,Y,Y,Y,N,,,140000,15,0.01,E,Y,,,,Y,N,,,,N,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.00,,SP,N,S,M,S,,5.5,7.5,15200,Y,,N,Y,,I,NA,NA,,170,,,BC,,C,EPC,0,,VU,5100,S
Roe deer,Capreolus capreolus,Chordata,Mammalia,Cetartiodactyla,Cervidae,70,70,NA,NA,,15,H,3,N,Y,Y,Y,N,11.2,0.043,26250,35.9,0.14,E,Y,2.4,0.01,,Y,N,F,,,N,,,,10.1,81.9,P,493.3,740.55,EE,0.95,703.52,74.1,73,85.3,,2.00,Y,SP,N,S,M,S,Y,36,14,18000,Y,,Y,Y,,I,NA,1.5,,300,,,BC,,C,EPC,0,12,LC,15000000,N
White-tailed deer (North America),Odocoileus virginianus,Chordata,Mammalia,Cetartiodactyla,Cervidae,70,70,21164,6234,,23,H,4,Y,Y,Y,Y,N,,,75000,65.25,0.09,E,Y,11.05,0.01,,Y,N,F,,,N,,,,9,61,P,8130,440,EE,0.8,352,80,89,68.3,,2.00,Y,SP,N,G,S,YN,N,7,12,60000,N,,N,Y,,I,26.6,2,,200,0.6,0.001,BC,,C,EPC,0,10,LC,11000000,A
White-tailed deer (South America),Odocoileus virginianus,Chordata,Mammalia,Cetartiodactyla,Cervidae,70,70,NA,NA,,23,H,4,Y,Y,Y,Y,N,,,50000,88.5,0.18,E,Y,,,,Y,N,F,,,N,,,,NA,NA,NA,122.18,NA,NA,NA,NA,NA,NA,NA,,2.00,Y,SM,N,G,S,YN,N,24,15,30000,N,,N,Y,,I,NA,NA,,202,,,BC,,C,EPC,0,28,DD,,A
Pampas deer,Ozotoceros bezoarticus,Chordata,Mammalia,Cetartiodactyla,Cervidae,68,68,NA,NA,,21.9,H,3,N,Y,Y,Y,N,,,21400,14.67,0.07,E,Y,,,Y,Y,N,F,,,N,,,,7.6,NA,R,NA,483.15,EE,0.36,174.9,72,38.6,88,,2.00,N,SM,N,G,S,YN,,12,14,23000,N,,N,Y,,I,21,NA,,232,0.14,0.0006,BC,,C,EPC,0,16,NT,50000,S
Marsh deer,Blastocerus dichotomus,Chordata,Mammalia,Cetartiodactyla,Cervidae,66,66,NA,NA,,12,H,,,Y,,,,,,110000,,,E,Y,,,,Y,N,F,,,N,,,,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,,2.00,Y,SM,N,S,S,NR,,,,80000,N,,N,Y,,I,21,1,,253,,,BC,,C,EPC,0,16,VU,44000,S
Brown brocket deer,Mazama gouazoubira,Chordata,Mammalia,Cetartiodactyla,Cervidae,70,70,NA,NA,,13,H,4,Y,Y,Y,Y,N,,,18000,69.4,0.39,E,Y,,,,Y,N,F,,,N,,,,7.98,71.28,R,NA,949,EE,0.46,144,86,72.7,87.6,,2.00,Y,SM,N,S,S,NR,,13,13,20000,N,,N,Y,,I,26,2,,232,,,BC,,C,EPC,0,16,LC,,S
Amazonian brown brocket deer,Mazama nemorivaga,Chordata,Mammalia,Cetartiodactyla,Cervidae,68,69,NA,NA,,,H,3,N,Y,Y,Y,N,,,15000,,,E,Y,,,,Y,N,F,,,N,,,,9.44,71.21,R,NA,189,EE,0.42,759,60,NA,NA,,2.00,Y,SM,N,S,S,NR,,12,,16000,N,,N,Y,,I,NA,1.5,,232,,,BC,,C,EPC,0,16,LC,,S
Brazilian dwarf brocket deer,Mazama nana,Chordata,Mammalia,Cetartiodactyla,Cervidae,37.5,37.5,NA,NA,,,H,,,Y,,,,,,15700,,,E,Y,,,,Y,N,F,,,N,,,,NA,NA,R,NA,1.5,EE,0.1,0.14,70,59.1,NA,,2.00,Y,SM,N,S,S,NR,,,,15000,N,,N,Y,,I,23.8,1.5,,217,,,BC,,C,EPC,0,16,VU,NA,S
Red brocket deer,Mazama americana,Chordata,Mammalia,Cetartiodactyla,Cervidae,51,51,NA,NA,,13.8,H,,,Y,,,,,,37700,,,E,Y,,,,Y,N,F,,,N,,,,8.5,60.5,R,NA,4320,AV,0.14,613.44,66.3,49.11,NA,,2.00,Y,SM,N,S,S,NR,N,12,15,40000,N,,N,Y,7.94,I,21,1.5,,220,,,BC,,C,EPC,0,16,DD,,S
Small red brocket deer,Mazama bororo,Chordata,Mammalia,Cetartiodactyla,Cervidae,37.5,37.5,NA,NA,,,H,,,Y,,,,,,,,,E,Y,,,,Y,N,F,,,N,,,,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,,2.00,Y,SM,N,S,S,NR,,,,,N,,N,Y,,I,NA,NA,,210,,,BC,,C,EPC,0,,VU,,S
Pudu deer,Pudu puda,Chordata,Mammalia,Cetartiodactyla,Cervidae,70,70,NA,NA,,17.4,H,,,Y,,,,,,10000,,,E,Y,,,,Y,N,F,,,N,,,,9,57,P,NA,2697.26,EE,0.07,196.9,75,81.3,61.7,,2.50,Y,SM,N,S,S,YN,Y,7,12,9000,N,,N,Y,,I,11,2,,202,,,BC,,C,EPC,0,45,NT,10000,S
North Andean deer,Hippocamelus antisensis,Chordata,Mammalia,Cetartiodactyla,Cervidae,,,NA,NA,,10.6,H,4,Y,Y,Y,Y,N,8.6,0.019,45000,130,0.29,E,Y,10,0.02,N,Y,N,F,,,,,,,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,N,G,S,YN,,12,12,46000,N,,N,Y,,I,NA,NA,,240,,,BC,,,,0,,VU,4956,S
Sambas deer,Rusa unicolor,Chordata,Mammalia,Cetartiodactyla,Cervidae,58,58,NA,NA,,26,H,,,Y,,,,,,90000,,,E,Y,,,,Y,N,,U,,N,,,,7.78,49.49,R,NA,557,EE,1.48,821.58,73.2,80,84.86,,2.00,,SP,N,G,S,NR,N,7,21,164500,N,,N,Y,119.24,I,18.2,NA,,255,,,BC,,C,EPC,0,21,VU,,S
Eld's deer,Rucervus eldii,Chordata,Mammalia,Cetartiodactyla,Cervidae,58,58,NA,NA,,19,H,,,Y,,,,,,100000,,,E,Y,,,,Y,N,,,,N,,,,8.2,49.4,P,NA,1007.5,EE,2.1,2115.75,80,NA,88.5,,,,SP,N,G,S,YN,Y,,24,50000,N,,N,Y,,I,17,2,,242,1.1,0.0022,BC,,C,EPC,0,35,EN,,S
Axis deer,Axis axis,Chordata,Mammalia,Cetartiodactyla,Cervidae,66,66,NA,NA,,20.8,H,,,Y,,,,,,80000,18.2,0.02,E,Y,4.1,0.01,,Y,N,,,,N,,,,8.9,66.2,R,4300,338.3,EE,4.1,1387.03,66.5,79.9,NA,,,,SP,N,G,S,NR,Y,15,12,50000,N,,N,Y,,I,19.3,NA,,234.5,0.5,0.001,BC,,C,EPC,0,12,LC,,S
Tufted deer,Elaphodus cephalophus,Chordata,Mammalia,Cetartiodactyla,Cervidae,46.5,47.5,NA,NA,,15,H,,,Y,,,,,,20000,,,E,Y,,,,Y,N,,,,N,,,,7.7,55.5,P,NA,207.6,EE,2,415.2,76.9,34.2,NA,,,,SP,N,S,S,YNN,,18,9.5,40000,N,,N,Y,,I,NA,NA,144,187.5,,,BC,,C,EPC,0,,NT,500000,S
Thorold's deer,Cervus albirostris,Chordata,Mammalia,Cetartiodactyla,Cervidae,66,66,NA,NA,,17,H,,,Y,Y,,,68.1,0.031,223000,116.4,0.05,E,Y,,,,Y,N,,,,,,,,8,64,P,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,N,G,S,S,Y,17,17,160000,N,,N,Y,121.9,I,NA,NA,,235,,,BC,,,,0,,VU,7000,N
Indian Hog Deer,Axis porcinus,Chordata,Mammalia,Cetartiodactyla,Cervidae,68,68,NA,NA,,20,H,2,N,Y,Y,N,N,12.15,0.024,51500,49,0.1,E,Y,,,,Y,N,,,,N,,,,8.72,59.08,P,NA,2075,EE,1.43,2969.33,91.4,NA,NA,,,,SP,N,S,S,YN,N,8,8,54000,N,,N,Y,78.76,I,16,2,,240,,,BC,,C,EPC,0,24,EN,,S
Swamp deer,Rucervus duvaucelii,Chordata,Mammalia,Cetartiodactyla,Cervidae,,,NA,NA,,23,H,,,Y,Y,,,59.34,0.026,228250,64.05,0.03,E,Y,,,,Y,N,,,,,,,,9.95,65.67,P,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,N,G,S,YN,Y,48,24,145000,N,,N,Y,48.24,I,21.3,1.5,,245,,,BC,,,,0,24,VU,,S
Reeves's muntjac,Muntiacus reevesi,Chordata,Mammalia,Cetartiodactyla,Cervidae,46,46,NA,NA,,23.2,O,,,Y,,,,,,8300,11.5,0.14,E,Y,,,,Y,N,,,,N,,,,6.79,46.82,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,N,S,S,N,N,9,6,6800,N,,N,Y,,I,16,NA,,210,,,BC,,C,EPC,0,24,LC,2000000,S
Indian muntjac,Muntiacus muntjak,Chordata,Mammalia,Cetartiodactyla,Cervidae,6,7,NA,NA,,17.6,O,3,Y,N,Y,Y,N,6.25,0.036,17500,6.5,0.04,E,Y,,,,Y,N,,,,N,,,,5.6,56.4,P,NA,506.25,EE,NA,NA,60,93.3,91.35,,,,SM,N,S,S,N,N,11,6,22000,N,,N,Y,33.44,I,16,2,,180,,,BC,,C,EPC,0,,LC,,S
Greater Horseshoe Bat,Rhinolophus ferrumequinum,Chordata,Mammalia,Chiroptera,Rhinolophidae,56,56,19651,3499,,30,C,5,Y,Y,Y,N,Y,,,24,0.02,0.08,E,Y,,,,Y,Y,,,P,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,,,SP,N,G,S,W,,12,4,23,N,,N,Y,,I,NA,NA,,91,,,BC,,D,,7,8,LC,,N
Nine-banded armadillo,Dasypus novemcinctus,Chordata,Mammalia,Cingulata,Dasypodidae,64,64,22044,6929,,23,O,,Y,Y,N,,,,,5340,,,I,Y,,,,Y,N,,,,,8.15,36.68,,9,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,SP,,S,M,S,,12,15,4760,N,,Y,Y,,I,NA,NA,,120,,,SH,,D,HC,0,17,LC,,A
Six-banded armadillo,Euphractus sexcinctus,Chordata,Mammalia,Cingulata,Chlamyphoridae,58,58,NA,NA,,18.8,O,NA,NA,NA,NA,NA,NA,NA,,4850,,,I,Y,,,,Y,N,,,,,,,,13,77.6,O,NA,45,EE,0.35,15.89,61,86,55,,,,SP,N,S,M,S,,9,9,4850,,,Y,Y,,I,23.5,NA,,68,,,,,Z,HC,23.5,18,LC,,
Virginia Opossum,Didelphis virginiana,Chordata,Mammalia,Didelphimorphia,Didelphidae,22,22,NA,NA,,6.5,O,2,Y,Y,N,N,N,,,3000,3,0.1,E,Y,,,,Y,N,,,,,,,,NA,NA,O,NA,NA,NA,NA,NA,NA,NA,NA,0.5,,,SP,N,S,M,S,,8,6,2000,Y,,N,Y,,I,28,1.5,,13,,,2U,,D,CV,60,8.5,LC,,N
Tammar Wallaby,Macropus eugenii,Chordata,Mammalia,Diprotodontia,Macropodidae,16,16,NA,NA,,15,H,2,Y,Y,N,N,N,80.72,1.101,7333.3,31.95,0.44,E,Y,6.6,0.09,N,Y,N,,,C,,16,72,13,6.67,106.4,O,4851,53.75,EE,8.9,478.38,91.5,NA,NA,1,504.00,Y,SP,,G,S,S,Y,19,9.75,4500,N,,Y,Y,,I,30.6,1.5,,26.5,,,2U,,,,142,46,LC,50000,S
Common brushtail possum,Trichosurus vulpecula,Chordata,Mammalia,Diprotodontia,Phalangeridae,20,20,NA,NA,,14.7,O,2,Y,Y,N,N,N,28.91,0.826,3500,5.38,0.15,,y,,,N,Y,N,,,,,13.5,60.75,11,5.53,94.17,NA,218.33,NA,EE,NA,NA,NA,NA,NA,,,,SP,N,S,S,WS,,24,12,3150,N,,N,Y,,I,27,NA,,17.5,,,2U,,,,60,28.5,LC,,S
European Hare,Lepus europaeus,Chordata,Mammalia,Lagomorpha,Leporidae,48,48,NA,NA,,10.7,H,,,Y,,,,,,2950,14.55,0.49,E,Y,,,,Y,N,,,,,,,,8.1,57.58,NA,1042,248.13,EE,0.5,124.07,92,88,92,30,,,PG,Y,G,M,WS,,3,4,3430,Y,,N,Y,,I,NA,NA,,41.5,,,DU,,D,HC,0,14,LC,,N
European Rabbit,Oryctolagus cuniculus,Chordata,Mammalia,Lagomorpha,Leporidae,44,44,NA,NA,,7.9,H,4,Y,Y,Y,Y,N,2.18,0.083,2620.3,6.97,0.27,E,Y,0.71,0.03,,Y,N,,V,,,10.7,48.15,11.18,6.7,49.1,P,1443,616.33,AV,0.48,293.79,73,83,67,1.3,,,PG,Y,G,M,N/R,,4,4,1540,Y,,N,Y,,I,7,NA,,31.5,,,DU,,D,HC,11,4.5,EN,,N
Eastern Cottontail,Sylvilagus floridanus,Chordata,Mammalia,Lagomorpha,Leporidae,42,42,NA,NA,,9,H,,,Y,,,,,,1180,,,E,Y,,,,Y,N,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,SP,Y,G,M,W,,2,,1200,Y,,N,Y,,I,NA,NA,,27,,,DU,,D,HC,7,3.5,LC,,N
Platypus,Ornithorhynchus anatinus,Chordata,Mammalia,Monotremata,Ornithorhynchidae,52,52,18152,11382,,17,C,2,Y,Y,N,N,N,,,2400,22.15,0.92,I,Y,,,N,Y,N,M,,,,,,,41.5,106,V,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,,S,M,W,,24,24,1300,Y,,N,Y,,I,41,29.6,,16.25,,,DU,,,EGG,77,19.07,NT,50000,S
Short-beaked echidna,Tachyglossus aculeatus,Chordata,Mammalia,Monotremata,Tachyglossidae,64,63,18929,10055,,50,I,2,Y,Y,N,N,N,,,3700,9.19,0.25,I,Y,,,N,Y,N,M,O,,,13.8,62.1,14.1,50.2,121.33,V,NA,4750,NA,NA,NA,NA,NA,NA,,6300.00,N,SP,N,S,S,W,,,36,4500,,,Y,Y,,I,20.5,NA,,23,,,DU,,,EGG,,27.5,LC,,S
Horse,Equus caballus,Chordata,Mammalia,Perissodactyla,Equidae,64,64,21129,8893,,27.5,H,4,Y,Y,Y,Y,N,193.74,0.039,499000,416,0.08,E,Y,,,,Y,N,M,U,,Y,12.2,54.9,11.63,5,48.7,O,54743.84,298.03,AV,37.05,11041.83,73.05,35.06,62.86,6,,,SP,N,G,S,S,N,14,12,320000,N,,N,Y,,I,22,6,,349,,,BC,,DF,EPC,0,24,LC,58000000,A
Donkey,Equus africanus,Chordata,Mammalia,Perissodactyla,Equidae,62,62,20673,3997,,27.5,H,4,Y,Y,Y,Y,N,,,276000,297.17,0.11,E,Y,,,,Y,N,M,U,,Y,10.5,47.25,,6,53,O,60935,337.8,AV,67.5,22801.5,86.35,81.8,84,,,,SP,N,G,S,N,N,19,12,220000,N,,N,Y,,I,24,6.3,192,380,,,BC,,DF,EPC,0,28,LC,44000000,A
White rhinoceros,Ceratotherium simum,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,81,81,44570,5658,,30,H,3,Y,Y,Y,N,N,,,2140000,,,,Y,,,,Y,N,,,,,,,,5,47.9,O,NA,45.17,EE,79.8,3604.3,83,53,59,,1350.00,Y,PG,N,S,S,N,,36,32,1900000,N,,N,Y,,I,35.4,1,498,540,,,BC,,DF,EPC,0,62,NT,10080,S
Central American tapir,Tapirus bairdii,Chordata,Mammalia,Perissodactyla,Tapiridae,80,80,NA,NA,,29.6,H,3,Y,Y,Y,N,N,,,290000,28.37,0.01,,Y,,,,Y,N,,,,,,,,6,63,O,NA,101.2,EE,20.4,2064.48,46,6.9,NA,,,,SM,N,S,S,N,,24,14,300000,N,,N,Y,72.25,I,30,1.8,,400,,,BC,,DF,EPC,0,17,EN,4500,A
Lowland Tapir,Tapirus terrestris,Chordata,Mammalia,Perissodactyla,Tapiridae,80,80,NA,NA,,35,H,,,Y,,,,,,225000,,,,Y,,,,Y,N,,,,,,,,NA,NA,NA,NA,141,EE,13,1833,65,72,65,,,,SP,,S,S,N,,NA,Na,210000,N,,N,Y,,I,31,NA,,395,,,BC,,DF,EPC,0,28,VU,NA,S
Brown-throated sloth,Bradypus variegatus,Chordata,Mammalia,Pilosa,Bradypodidae,54,54,NA,NA,,35,H,1,N,Y,N,N,N,,,5258.3,,,I,Y,,,,Y,Y,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,750.00,,SM,,S,S,YN,,36,36,6313.33,N,,N,Y,24.5,I,60,NA,,165,,,SH,,Z,SC/EC,0,16,LC,,S
Maned sloth,Bradypus torquatus,Chordata,Mammalia,Pilosa,Bradypodidae,50,50,NA,NA,,20,H,,,Y,,,,,,5750,,,I,Y,,,,Y,Y,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,,S,S,S,,24,24,7500,,,N,Y,75,I,NA,NA,,106,,,SH,,,EC,0,16,VU,,S
Pale-throated sloth,Bradypus tridactylus,Chordata,Mammalia,Pilosa,Bradypodidae,52,52,NA,NA,,40,H,2,N,Y,Y,N,N,,,4600,,,I,Y,,,,Y,Y,,,,,,,,4.74,33.23,P,NA,91.93,EE,0.05,4.14,80,NA,NA,,120.00,Y,NA,,S,S,YN,,36,36,3500,N,,N,Y,,I,NA,NA,,247,,,SH,,,EC,0,,LC,,S
Southern two-toed sloth,Choloepus didactylus,Chordata,Mammalia,Pilosa,Megalonychidae,65,65,NA,NA,,27.8,H,1,N,Y,,N,N,,,6000,,,I,Y,,,,Y,Y,,,,,,,,55.5,5.5,O,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,N,S,S,NR,,48,36,8400,,,Y,Y,,I,31.4,55,,289.5,,,SH,,,EC,0,20,LC,,S
Giant anteater,Myrmecophaga tridactyla,Chordata,Mammalia,Pilosa,Myrmecophaga,60,60,NA,NA,,26,I,3,Y,Y,Y,N,N,,,45000,,,I,Y,,,,Y,N,,,,Y,,,,7.3,61.1,P,NA,118.95,EE,1.28,152.26,51.65,49.99,NA,,,,NA,N,S,S,YN,N,30,30,315000,N,,Y,Y,,I,55,2.5,,183.67,,,SH,,D,HC,6,43,VU,NA,S
Lesser anteater,Tamandua tetradactyla,Chordata,Mammalia,Pilosa,Myrmecophagidae,54,54,NA,NA,,19,I,3,Y,Y,Y,N,N,,,4830,,,I,Y,,,,Y,N,,,,,,,,9.5,67.33,O,NA,NA,EE,0.02,NA,0,37.5,0,,,,NA,N,S,S,NR,,,12,4830,N,,N,Y,,I,42.5,9.5,,160,,,SH,,D,HC,,,LC,NA,S
Olive baboon,Papio anubis,Chordata,Mammalia,Primates,Cercopithecidae,42,42,21087,11295,,25.2,O,,Y,Y,,,,,,26400,85.96,0.33,E,Y,,,,Y,Y,,,,,11,49.5,,3.49,76.6,O,NA,52.9,EE,0.42,22.04,59.17,78.8,70,,,Y,PG,N,G,S,N,Y,,,13300,N,,N,Y,,I,39.9,17.5,300,185,,,SH,,D,HC,0,,LC,NA,S
Rhesus macaque,Macaca mulatta,Chordata,Mammalia,Primates,Cercopithecidae,42,42,19527,18197,,30,O,,Y,Y,,,,,,10430,62.5,0.6,,Y,,,,Y,Y,,,,,10.5,47.25,10.5,5.3,73.97,,6308,385.7,EE,0.39,877.88,75,88,NA,,,Y,PG,N,G,S,W,Y,36,30,8800,N,,N,Y,,I,27.5,9.5,300,166,,,SH,,D,HC,0,52,LC,NA,N
Humans,Homo sapiens,Chordata,Mammalia,Primates,Hominidae,46,46,19527,18197,,73.6,O,3,Y,Y,Y,N,N,29,0.046,63540,50.2,0.08,E,Y,,,N,Y,N,M,V,N,N,16,72,8.75,4.5,56.9,R,304.64,85.33,AV,3.2,273.05,59,83,89,5,,N,ALL,N,G,S,N,N,124,120,62100,N,MII,N,Y,24,I,28,28,516,280,6,0.0097,SH,290,D,HC,0,,LC,7800000000,A
Ring-tailed lemur,Lemur catta,Chordata,Mammalia,Primates,Lemuridae,56,56,NA,NA,,30,O,,,Y,,,,,,2700,17.8,0.66,,Y,,,,Y,Y,,,P,Y,,,,4.4,54,R,NA,NA,NA,NA,NA,NA,NA,NA,,135.00,N,PG,N,G,M,W,Y,18,18,2200,Y,,N,Y,,I,39.3,1.5,,136,,,BC,,DF,EPC,0,21,EN,2200,S
Common brown lemur,Eulemur fulvus,Chordata,Mammalia,Primates,Lemuridae,30,30,NA,NA,,35.5,O,,,Y,,,,,,2130,20.49,0.96,,Y,,,,Y,Y,,,P,Y,,,,5.6,78.9,R,NA,24,EE,1.6,38.4,NA,30.3,NA,,,,SP,N,G,S,W,Y,12,12,2500,Y?,,N,Y,,I,30,1,,120,,,BC,,DF,EPC,0,19,VU,,S
Greater Slow loris,Nycticebus coucang,Chordata,Mammalia,Primates,Lorisidae,50,50,NA,NA,,23.5,O,,,Y,Y,,,1,0.095,1058,1.2,0.11,,Y,,,,Y,N,,,P,,,,,7.5,48.75,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,SM,,S,S,N,,17,17,640,Y?,,N,Y,,I,36.4,1.55,,191,,,BC,,,,0,,EN,,S
Gorilla,Gorilla gorilla,Chordata,Mammalia,Primates,Pongidae,48,48,20654,7476,,43.7,O,,Y,Y,,,,,,134000,23.2,0.02,E,Y,,,,Y,Y,,,,,,,,4.78,61.17,,NA,39.5,EE,0.4,15.8,38,47,53,,,,SP,N,G,S,N,N,132,96,71500,N,,N,Y,,I,31,3.5,402,267,,,SH,,D,HC,0,182,CR,100000,S
Chimpanzee,Pan troglodytes,Chordata,Mammalia,Primates,Pongidae,48,48,21522,11689,,48.9,O,,Y,Y,Y,,,,,44340,118.8,0.27,E,Y,,,,Y,Y,,,,,14,63,,4.68,57.36,,984,2561,AV,3.4,8707.4,65.5,98,78,,,,PG,Y,G,S,N,Y,,,45800,N,MII,N,Y,,I,36,10.25,456,240,,,SH,,D,HC,0,260,EN,299700,A
African elephant,Loxodonta africana,Chordata,Mammalia,Proboscidea,Elephantidae,56,56,21094,3894,,65,H,,Y,Y,Y,,,1790.9,0.038,4697750,3797.5,0.08,I,Y,,,,Y,N,,,,,,,,6.8,60.9,O,NA,904.2,EE,55.9,50544.78,66,57.95,NA,,,,SP,N,G,S,N,,84,96,2510000,N,,N,Y,,I,136.5,3,828,653,,,BC,,Z,EC,0,182,EN,415428,A
Asian elephant,Elephas maximus,Chordata,Mammalia,Proboscidea,Elephantidae,56,56,NA,NA,,65,H,,Y,Y,Y,,,,,4545400,4000,0.09,I,Y,,,,Y,N,,,,Y,,,,7.9,55.93,,NA,1372.9,AV,32.64,44811.46,47.9,72.1,61.4,,,,SP,N,G,S,N,,42,,2636000,N,,N,Y,,I,108,2.5,636,608,,,BC,,Z,EC,0,104,EN,51680,A
Guinea Pig,Cavia porcellus,Chordata,Mammalia,Rodentia,Caviidae,32,32,19976,5985,,6,H,,,Y,,,,,,813,3.06,0.38,E,Y,,,,Y,Y,,,,,8.45,38.03,,10.03,106.61,,196,36.7,EE,0.67,24.59,78.5,88.37,NA,0.9,,N,SP,N,G,M,N,,1.5,2,535,Y,MII,N,Y,,I,16,0.354,,67,,,DU,,D,HC,0,3,LC,,A
Capybara,Hydrochoerus hydrochaeris,Chordata,Mammalia,Rodentia,Caviidae,66,66,NA,NA,,12,H,,,Y,Y,,,12.1,0.021,57310,51.4,0.09,,Y,,,,Y,Y,,,,,11.9,53.55,,5.41,58.02,,,127,EE,0.14,17.15,32.6,51.3,51.3,,,,PG,N,G,M,N,,6,6,62000,Y,,N,Y,,I,7.5,0.333,,150,,,BP,,D,HC,0,6.43,LC,,S
