Common_Name,Species,Phylum,Class,Order,Family,Accesory_glands_number,Combined_Accessory_gland_mass_(g),Acessory_glands_%BW,Male_Body_mass_(g),Combined_testis_mass_(g),testis_%BW,Combined_epididymis_weight_(g),epidydymis_%BW,Seminiferous_epithelium_cycle_length_(days),spermatogenesis_lenght_(days),epididymal_transit/maturation_length_(days),sperm_head_length_(um),sperm_head_tail,Sperm_number_cauda_(M),Sperm_Concentration_ejaculate_(M/ml),Ejaculate_volume_(mL),Total_sperm_ejaculate_(M),Motility,Normal,Viability,earliest_puberty_age _M_(months),Male_Body_mass_(g)
Greater Slow loris,"Nycticebus coucang
",Chordata,Mammalia,Primates,Lorisidae,,1,0.09,1058,1.2,0.11,,,,,,7.5,48.75,NA,NA,NA,NA,NA,NA,NA,17.00,1058.00
Tammar Wallaby,Macropus eugenii,Chordata,Mammalia,Diprotodontia,Macropodidae,2,80.72,1.1,7333.33,31.95,0.44,6.6,0.09,16,72,13,6.67,106.4,4851,53.75,8.9,478.38,91.5,NA,NA,19.00,7333.33
Southern two-toed sloth,Choloepus didactylus ,Chordata,Mammalia,Pilosa,Megalonychidae,1,,,6000,,,,,,,,55.5,5.5,NA,NA,NA,NA,NA,NA,NA,48.00,6000.00
Rat,Rattus norvegicus,Chordata,Mammalia,Rodentia,Muridae,3,0.27,0.08,336,3.73,1.11,0.82,0.24,12.44,55.98,8.55,11.9,189.4,376.84,NA,NA,NA,75,84,80,1.67,336.00
Mouse,Mus musculus,Chordata,Mammalia,Rodentia,Muridae,3,0.27,1.8,15,0.15,1.02,0.12,0.8,8.63,38.81,5.4,8.3,124.3,23.2,NA,NA,NA,88,80,60,1.00,15.00
Mink,Mustela vison,Chordata,Mammalia,Carnivora,Mustelidae,,0.01,0,1942,2.71,0.14,0.55,0.03,,,,7,43,100,3.75,0.21,0.79,60,NA,NA,10.00,1942.00
European Badger,Meles meles,Chordata,Mammalia,Carnivora,Mustelidae,,,,18000,10,0.06,,,,,,NA,NA,8.8,NA,NA,NA,NA,NA,NA,11.00,18000.00
Ferret,Mustela putorious furo,Chordata,Mammalia,Carnivora,Mustelidae,,,,1523.5,7.88,0.52,0.3,0.02,13,58.5,,NA,NA,219,397.45,0.14,54.05,59.6,67.3,74.5,6.00,1523.50
European Otter,Lutra lutra,Chordata,Mammalia,Carnivora,Mustelidae,,4.21,0.05,8662.5,7.43,0.09,,,,,,6.49,70.34,NA,NA,NA,NA,NA,NA,NA,18.00,8662.50
Giant anteater,Myrmecophaga tridactyla,Chordata,Mammalia,Pilosa,Myrmecophagidae,3,,,45000,,,,,,,,7.3,61.1,NA,118.95,1.28,152.26,51.65,49.99,NA,30.00,45000.00
Lesser anteater,Tamandua tetradactyla,Chordata,Mammalia,Pilosa,Myrmecophagidae,3,,,4830,,,,,,,,9.5,67.33,NA,NA,0.02,NA,0,37.5,0,,4830.00
Walrus,Odobenus rosmarus,Chordata,Mammalia,Carnivora,Odobenidae,,,,1224000,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.00,1224000.00
Platypus,Ornithorhynchus anatinus,Chordata,Mammalia,Monotremata,Ornithorhynchidae,2,,,2400,22.15,0.92,,,,,,41.5,106,NA,NA,NA,NA,NA,NA,NA,24.00,2400.00
