Common_Name,Species,Phylum,Class,Order,Family,earliest_puberty_age_F_(months),Female_Body_Mass_(g),oviduct_lenght_(mm),Cycle_Length_(days),Length_receptvivity_(days),reproductive_senescence_F_(months),gestation_length_(days),Combined_ovary_weight_(g),ovary_%BW,folliculogenesis _length_(days),Age_eyes_open_(days),Lactation_length_(weeks)
Brown brocket deer,Mazama gouazoubira,Chordata,Mammalia,Cetartiodactyla,Cervidae,13.00,20000.00,,26.00,2.00,,232.00,,,,0.00,16.00
Amazonian brown brocket deer,Mazama nemorivaga,Chordata,Mammalia,Cetartiodactyla,Cervidae,,16000.00,,NA,1.50,,232.00,,,,0.00,16.00
Brazilian dwarf brocket deer,Mazama nana,Chordata,Mammalia,Cetartiodactyla,Cervidae,,15000.00,,23.80,1.50,,217.00,,,,0.00,16.00
Red brocket deer,Mazama americana,Chordata,Mammalia,Cetartiodactyla,Cervidae,15.00,40000.00,7.94,21.00,1.50,,220.00,,,,0.00,16.00
Small red brocket deer,Mazama bororo,Chordata,Mammalia,Cetartiodactyla,Cervidae,,,,NA,NA,,210.00,,,,0.00,
Pudu deer,Pudu puda,Chordata,Mammalia,Cetartiodactyla,Cervidae,12.00,9000.00,,11.00,2.00,,202.00,,,,0.00,45.00
North Andean deer,Hippocamelus antisensis,Chordata,Mammalia,Cetartiodactyla,Cervidae,12.00,46000.00,,NA,NA,,240.00,,,,0.00,
Sambas deer,Rusa unicolor niger,Chordata,Mammalia,Cetartiodactyla,Cervidae,21.00,164500.00,119.24,18.20,NA,,255,,,,0.00,21.00
Eld's deer,Cervus eldii thamin,Chordata,Mammalia,Cetartiodactyla,Cervidae,24.00,50000.00,,17.00,2.00,,242.00,1.10,0.00,,0.00,35.00
Axis deer,Axis axis,Chordata,Mammalia,Cetartiodactyla,Cervidae,12.00,50000.00,,19.30,NA,,234.50,0.50,0.00,,0.00,12.00
